"Identyfikator","Destination Port","Flow Duration","Total Fwd Packets","Total Backward Packets","Total Length of Fwd Packets","Total Length of Bwd Packets","Fwd Packet Length Max","Fwd Packet Length Min","Fwd Packet Length Mean","Fwd Packet Length Std","Bwd Packet Length Max","Bwd Packet Length Min","Bwd Packet Length Mean","Bwd Packet Length Std","Flow Bytes/s","Flow Packets/s","Flow IAT Mean","Flow IAT Std","Flow IAT Max","Flow IAT Min","Fwd IAT Total","Fwd IAT Mean","Fwd IAT Std","Fwd IAT Max","Fwd IAT Min","Bwd IAT Total","Bwd IAT Mean","Bwd IAT Std","Bwd IAT Max","Bwd IAT Min","Fwd PSH Flags","Bwd PSH Flags","Fwd URG Flags","Bwd URG Flags","Fwd Header Length","Bwd Header Length","Fwd Packets/s","Bwd Packets/s","Min Packet Length","Max Packet Length","Packet Length Mean","Packet Length Std","Packet Length Variance","FIN Flag Count","SYN Flag Count","RST Flag Count","PSH Flag Count","ACK Flag Count","URG Flag Count","CWE Flag Count","ECE Flag Count","Down/Up Ratio","Average Packet Size","Avg Fwd Segment Size","Avg Bwd Segment Size","Pole56","Fwd Avg Bytes/Bulk","Fwd Avg Packets/Bulk","Fwd Avg Bulk Rate","Bwd Avg Bytes/Bulk","Bwd Avg Packets/Bulk","Bwd Avg Bulk Rate","Subflow Fwd Packets","Subflow Fwd Bytes","Subflow Bwd Packets","Subflow Bwd Bytes","Init_Win_bytes_forward","Init_Win_bytes_backward","act_data_pkt_fwd","min_seg_size_forward","Active Mean","Active Std","Active Max","Active Min","Idle Mean","Idle Std","Idle Max","Idle Min","Label"
18884,80,1293792,3,7,26,11607,20,0,"8.666666667","10.26320288",5840,0,"1658","2137","8991.398927","7.72921768","143754","430865.8067",1292730,2,747,"373","523.9661249",744,3,1293746,"215624","527671",1292730,2,0,0,0,0,72,152,"2.318765304","5.410452376",0,5840,"1057.545455","1853.437529","3435230.673",0,0,0,1,0,0,0,0,2,"1163.3","8.666666667","1658",72,0,0,0,0,0,0,3,26,7,11607,8192,229,2,20,0,0,0,0,0,0,0,0,"DDoS"
18885,80,4421382,4,0,24,0,6,6,"6","0",0,0,"0","0","5.42816703","0.904694505","1473794","2552042.631",4420639,340,4421382,"1473794","2552042.631",4420639,340,0,"0","0",0,0,0,0,0,0,80,0,"0.904694505","0",6,6,"6","0","0",0,0,0,0,1,0,0,0,0,"7.5","6","0",80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0,0,0,0,0,0,0,0,"DDoS"
18886,80,1083538,3,6,26,11601,20,0,"8.666666667","10.26320288",4380,0,"1933","1757","10730.58813","8.306123089","135442","377725.315",1070206,41,12982,"6491","8165.669109",12265,717,1083407,"216681","477167",1070206,41,0,0,0,0,72,132,"2.768707696","5.537415393",0,4380,"1162.7","1645.241762","2706820.456",0,0,0,1,0,0,0,0,2,"1291.888889","8.666666667","1933",72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0,0,0,0,0,0,0,0,"DDoS"
18887,80,80034360,8,4,56,11601,20,0,"7","5.656854249",8760,0,"2900","4128","145.6499433","0.149935603","7275850","21100000",70600000,6,78700000,"11200000","26300000",70600000,247,1354806,"451602","777575",1349464,190,0,0,0,0,172,92,"0.099957068","0.049978534",0,8760,"897.1538462","2488.507044","6192667.308",0,0,0,0,1,0,0,0,0,"971.9166667","7","2900",172,0,0,0,0,0,0,8,56,4,11601,256,229,6,20,939,0,939,939,39300000,44200000,70600000,8072664,"DDoS"
18888,80,642654,3,6,26,11607,20,0,"8.666666667","10.26320288",5840,0,"1934","2538","18101.49785","14.0044254","80331","226824.6943",641694,3,801,"400","540.9366876",783,18,642493,"128498","286885",641694,3,0,0,0,0,72,132,"4.668141799","9.336283599",0,5840,"1163.3","2138.329153","4572451.567",0,0,0,1,0,0,0,0,2,"1292.555556","8.666666667","1934",72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,"DDoS"
1,49188,4,2,0,12,0,6,6,"6","0",0,0,"0","0","3000000","500000","4","0",4,4,4,"4","0",4,4,0,"0","0",0,0,0,0,0,0,40,0,"500000","0",6,6,"6","0","0",0,0,0,0,1,1,0,0,0,"9","6","0",40,0,0,0,0,0,0,2,12,0,0,329,-1,1,20,0,0,0,0,0,0,0,0,"BENIGN"
2,49188,1,2,0,12,0,6,6,"6","0",0,0,"0","0","12000000","2000000","1","0",1,1,1,"1","0",1,1,0,"0","0",0,0,0,0,0,0,40,0,"2000000","0",6,6,"6","0","0",0,0,0,0,1,1,0,0,0,"9","6","0",40,0,0,0,0,0,0,2,12,0,0,329,-1,1,20,0,0,0,0,0,0,0,0,"BENIGN"
3,49188,1,2,0,12,0,6,6,"6","0",0,0,"0","0","12000000","2000000","1","0",1,1,1,"1","0",1,1,0,"0","0",0,0,0,0,0,0,40,0,"2000000","0",6,6,"6","0","0",0,0,0,0,1,1,0,0,0,"9","6","0",40,0,0,0,0,0,0,2,12,0,0,329,-1,1,20,0,0,0,0,0,0,0,0,"BENIGN"
4,49188,1,2,0,12,0,6,6,"6","0",0,0,"0","0","12000000","2000000","1","0",1,1,1,"1","0",1,1,0,"0","0",0,0,0,0,0,0,40,0,"2000000","0",6,6,"6","0","0",0,0,0,0,1,1,0,0,0,"9","6","0",40,0,0,0,0,0,0,2,12,0,0,329,-1,1,20,0,0,0,0,0,0,0,0,"BENIGN"
5,49486,3,2,0,12,0,6,6,"6","0",0,0,"0","0","4000000","666666.666666667","3","0",3,3,3,"3","0",3,3,0,"0","0",0,0,0,0,0,0,40,0,"666666.666666667","0",6,6,"6","0","0",0,0,0,0,1,1,0,0,0,"9","6","0",40,0,0,0,0,0,0,2,12,0,0,245,-1,1,20,0,0,0,0,0,0,0,0,"BENIGN"
